Domain,Company,Company ID
accenture.com,Accenture,1
adobe.com,Adobe,2
amazon.com,Amazon,3
amazon.in,Amazon,3
avineonindia.com,Avineon India,4
bsil.com,Blue Star Infotech,5
birlasoft.com,Birlasoft,6
cdac.in,C-DAC,7
capgemini.com,Capgemini,8
cisco.com,Cisco Systems,9
cloverinfotech.com,Clover Infotech,10
cloverinfotech.com,CMS IT Services,11
coforgetech.com,Coforge,12
cognizant.com,Cognizant,13
cyient.com,Cyient,14
datamatics.com,Datamatics,15
eclerx.com,Eclerx,16
ericsson.com,Ericsson,17
fb.com,FaceBook,18
facebook.com,FaceBook,18
firstsource.com,Firstsource,19
flipkart.com,Flipkart,20
freshworks.com,Freshworks,21
fujitsu.com,Fujitsu,22
gatewaytechnolabs.com,Gateway TechnoLabs,23
godrejinfotech.com,Godrej Infotech,24
google.com,Google,25
hcl.in,HCL Technologies,26
hdatasystems.com,HData Systems,27
hpe.com,Hewlett Packard,28
hexaware.com,Hexaware Technologies,29
honeywell.com,Honeywell,30
hyperlinkinfosystem.com,Hyperlink InfoSystem,31
ibm.com,IBM India Private Limited,32
idsil.com,Ids Infotech,33
igtsolutions.com,Igt Solutions,34
imerit.net,Imerit,35
infosys.com,Infosys,36
intel.com,Intel,37
itcinfotech.com,ITC Infotech,38
kooapp.com,Koo,39
kpit.com,KPIT Technologies,40
ltimindtree.com,LTIMindtree,41
mastek.com,Mastek,42
microland.com,Microland,43
microsoft.com,Microsoft,44
mistralsolutions.com,Mistral Solutions,45
mphasis.com,Mphasis,46
nucleussoftware.com,Nucleus Software,47
oracle.com,Oracle,48
oswaldlabs.com,Oswald Labs,49
paytm.com,Paytm,50
persistentsys.com,Persistent Systems,51
pinelabs.com,Pine Labs,52
polarisft.com,Polarisft,53
quest-global.com,Quest Global,54
ramco.com,Ramco Systems,55
samsung.com,Samsung India Pvt Ltd,56
sasken.com,Sasken Technologies,57
siemens.com,Siemens Technology,58
sonata-software.com,Sonata Software,59
tcs.com,TATA Consultancy Services,60
techmahindra.com,Tech Mahindra,61
thoughtworks.com,Thoughtworks,62
udaan.com,Udaan,63
vvdntech.com,Vvdn Technologies,64
wipro.com,Wipro,65
wns.com,WNS Global Services,66
zensar.com,Zensar Technologies,67
vunetsystems.com,VuNet Systems,68
arkgeniq.com,Arkgeniq,69
