s_no,name
1,Java
2,MySQL
3,MongoDB
4,NodeJS
5,Python
6,Perl
7,HTML
8,React JS
9,AJAX
10,Ant
11,Apache Commons
12,Apache Tomcat
13,Apache
14,ASP
15,BASIC
16,C
17,C#
18,C++
19,COBOL
20,CORBA
21,Corel Draw
22,Csharp
23,CSS
24,Database
25,DB2
26,dBase
27,DOS
28,EJB
29,Embedded C
30,ForTran
31,FoxPro
32,Hibernate
33,IIS
34,JavaScript
35,JBoss
36,JDBC
37,JPA
38,JSF
39,JSP
40,Linux
41,Log4j
42,OOPS
43,Oracle
44,PASCAL
45,PeopleSoft
46,Photoshop
47,PHP
48,PLSQL
49,PostgreSQL
50,SAP
51,Siebel
52,Solaris
53,Spring
54,SQL
55,siebel
56,SQL Server
57,Struts
58,Sybase
59,UML
60,Unix
61,VB.NET
62,VBScript
63,Visual Basic
64,Visual C++
65,Visual Foxpro
66,VxWorks
67,WebLogic
68,WebSphere
69,XML
70,Ruby
71,Go
72,Angular
73,Groovy
74,Lua
75,Bash
76,PowerShell
77,R
78,VBA
79,ECMAScript
80,TypeScript
81,Objective-C
82,Scala
83,React Native
84,VueJS
85,Django
86,Flask
87,Ruby on Rails
88,Swift
89,Android
90,Dart
91,jQuery
92,django
93,Apache Cordova
94,Xamarin
95,Flutter
96,Ionic
97,MSSQL
98,Redis
99,Apache Cassandra
100,DynamoDB
101,Firebase
102,Cosmos DB
103,Couchbase
104,Elasticsearch
105,BigQuery
106,Redshift
107,Snowflake
108,Teradata
109,Jenkins
110,Spanner
111,MariaDB
112,.Net
113,Springboot
114,MERN
115,MEAN
116,MEVN
117,ASP.Net
118,Kotlin
119,Cloud
120,GCP
121,Docker
122,Kubernetes
123,AWS
124,Azure
125,Shell
126,Puppet
127,Nagios
128,XHTML
129,Bootstrap
130,UX Prototyping
131,UX Wireframing
132,UX User Flows
133,UX Mockups
134,UX Visual Design
135,UX Design Tools
136,UX Research
137,UX Writing
138,UX User Empathy
139,JUnit
140,ExpressJS
141,Axios
142,iOS
143,Xcode
144,Database NoSQL
145,Datadog
146,NewRelic
147,AppDynamics
148,Dynatrace
149,Splunk
150,AgroCD
151,Chef
152,containerd
153,Vulnerability
154,Nessus
155,Nmap
156,Tenable
157,OWASP
158,PowerBI
159,CodeIgniter
