CollegeID,College Name,University,City,State
1,National Institute of Technology Rourkela ,,Rourkela,Odisha
2,Visvesvaraya National Institute of Technology Nagpur ,,Nagpur,Maharashtra
3,Netaji Subhas University of Technology,,New Delhi,Delhi
4,Birla Institute of Technology,,Ranchi,Jharkhand
5,International Institute of Information Technology,,Hyderabad,Telangana
6,BMS College of Engineering,"Visvesvaraya Technological University, Belagavi",Bengaluru,Karnataka
7,Institute of Chemical Technology,,Mumbai,Maharashtra
8,Banaras Hindu University,,Varanasi,Uttar Pradesh
9,Thapar Institute of Engineering and Technology,,Patiala,Punjab
10,Shanmugha Arts Science Technology Research and Academy,,Thanjavur,Tamil Nadu
11,Indian Institute of Technology Hyderabad ,,Hyderabad,Telangana
12,Nirma University,,Ahmedabad,Gujarat
13,Indraprastha Institute of Information Technology,,New Delhi,Delhi
14,Lovely Professional University,,Phagwara,Punjab
15,International Institute of Information Technology Bangalore ,,Bengaluru,Karnataka
16,Christ University,,Bengaluru,Karnataka
17,Sardar Vallabhbhai National Institute of Technology Surat ,,Surat,Gujarat
18,National Institute of Technology Durgapur ,,Durgapur,West Bengal
19,PES University,,Bengaluru,Karnataka
20,Indian Institute of Space Science and Technology,,Thiruvananthapuram,Kerala
21,Indian Institute of Technology Banaras Hindu University Varanasi ,,Varanasi,Uttar Pradesh
22,Maharashtra Institute of Technology,"Dr Vishwanath Karad MIT World Peace University, Pune",Pune,Maharashtra
23,National Institute of Technology Delhi ,,New Delhi,Delhi
24,Veermata Jijabai Technological Institute,"University of Mumbai, Mumbai",Mumbai,Maharashtra
25,Amrita School of Engineering,"Amrita Vishwa Vidyapeetham, Coimbatore",Coimbatore,Tamil Nadu
26,National Institute of Technology Kurukshetra ,,Kurukshetra,Haryana
27,MIT College of Engineering,"Dr Vishwanath Karad MIT World Peace University, Pune",Pune,Maharashtra
28,College of Engineering,"Anna University, Chennai",Chennai,Tamil Nadu
29,Malaviya National Institute of Technology Jaipur ,,Jaipur,Rajasthan
30,Maulana Azad National Institute of Technology Bhopal ,,Bhopal,Madhya Pradesh
31,Indian Institute of Information Technology Allahabad ,,Allahabad,Uttar Pradesh
32,Indian Institute of Technology Guwahati ,,Guwahati,Assam
33,Thiagarajar College of Engineering,"Anna University, Chennai",Madurai,Tamil Nadu
34,BITS Pilani- Hyderabad Campus,"Birla Institute of Technology and Science, Pilani",Hyderabad,Telangana
35,JNTUH College of Engineering,"Jawaharlal Nehru Technological University, Hyderabad",Hyderabad,Telangana
36,Maharaja Sayajirao University of Baroda,,Vadodara,Gujarat
37,Dhirubhai Ambani Institute of Information and Communication Technology,,Gandhinagar,Gujarat
38,Indian Institute of Technology Indian School of Mines Dhanbad ,,Dhanbad,Jharkhand
39,Punjab Engineering College,,Chandigarh,Chandigarh
40,Harcourt Butler Technical University,,Kanpur,Uttar Pradesh
41,Indian Institute of Technology Indore ,,Simrol,Madhya Pradesh
42,Andhra University College of Engineering,"Andhra University, Visakhapatnam",Visakhapatnam,Andhra Pradesh
43,Sri Sivasubramaniya Nadar College of Engineering,"Anna University, Chennai",Kelambakkam,Tamil Nadu
44,VIT University,"Vellore Institute of Technology, Vellore",Kelambakkam,Tamil Nadu
45,Bangalore Institute of Technology,"Visvesvaraya Technological University, Belagavi",Bengaluru,Karnataka
46,Vishwakarma Institute of Technology,"Savitribai Phule Pune University, Pune",Pune,Maharashtra
47,Indian Institute of Technology Gandhinagar ,,Gandhinagar,Gujarat
48,Savitribai Phule Pune University,,Pune,Maharashtra
49,Indian Institute of Technology Ropar ,,Rupnagar,Punjab
50,Jamia Hamdard,,New Delhi,Delhi
51,Panjab University,,Chandigarh,Chandigarh
52,Symbiosis International University,,Pune,Maharashtra
53,Chandigarh University,,Chandigarh,Punjab
54,National Institute of Technology Silchar ,,Silchar,Assam
55,BMS Institute of Technology and Management,"Visvesvaraya Technological University, Belagavi",Bengaluru,Karnataka
56,Dayananda Sagar College of Engineering,"Visvesvaraya Technological University, Belagavi",Bengaluru,Karnataka
57,Jawaharlal Nehru University,,New Delhi,Delhi
58,Atal Bihari Vajpayee Indian Institute of Information Technology and Management Gwalior ,,Gwalior,Madhya Pradesh
59,JC Bose University of Science and Technology,,Faridabad,Haryana
60,National Institute of Technology Raipur ,,Raipur,Chhattisgarh
61,Chaitanya Bharathi Institute of Technology,"Osmania University, Hyderabad",Hyderabad,Telangana
62,Institute of Engineering and Technology,"Dr APJ Abdul Kalam Technical University, Lucknow",Lucknow,Uttar Pradesh
63,Madras Institute of Technology,"Anna University, Chennai",Chennai,Tamil Nadu
64,University of Hyderabad,,Hyderabad,Telangana
65,Dr B R Ambedkar National Institute of Technology Jalandhar ,,Jalandhar,Punjab
66,National Institute of Industrial Engineering,,Mumbai,Maharashtra
67,Indian Institute of Technology Bhubaneswar ,,Bhubaneshwar,Odisha
68,Indian Institute of Technology Patna ,,Patna,Bihar
69,University of Calcutta,,Kolkata,West Bengal
70,Sharda University,,Greater Noida,Uttar Pradesh
71,National Institute of Technology Jamshedpur ,,Jamshedpur,Jharkhand
72,Dr DY Patil University,,Navi Mumbai,Maharashtra
73,Heritage Institute of Technology,"Maulana Abul Kalam Azad University of Technology, Kolkata",Kolkata,West Bengal
74,Sinhgad College of Engineering,"Savitribai Phule Pune University, Pune",Pune,Maharashtra
75,University College of Engineering,"Osmania University, Hyderabad",Hyderabad,Telangana
76,National Institute of Technology Hamirpur ,,Hamirpur,Himachal Pradesh
