Job Title Id,Name,Mock,Description
1,.NET Developer,TRUE,"Mock interview designed to assess your .NET development skills, covering essential topics such as C#, ASP.NET, MVC architecture, Entity Framework, and application security best practices"
2,Accessibility Specialist,,
3,Agile Project Manager,TRUE,"Mock interview tailored to evaluate your Agile Project Management skills, focusing on key concepts such as Scrum methodologies, sprint planning, team facilitation, stakeholder engagement, and continuous improvement."
4,Android Developer,TRUE,"Mock interview designed to assess your Android development skills, covering essential topics such as Android SDK, UI design, application lifecycle, data storage, and best practices for mobile development."
5,Angular Developer,TRUE,"Mock interview tailored to evaluate your Angular development skills, focusing on key concepts such as component architecture, reactive programming, state management, routing, and best practices for building scalable applications."
6,Ansible Automation Engineer,,
7,Ansible Operations Engineer,,
8,AppDynamics Engineer,,
9,Application Developer,TRUE,"Mock interview designed to assess your application development skills, covering essential topics such as software design principles, coding standards, debugging techniques, and deployment processes across various platforms"
10,Application Security Engineer,,
11,Application Support Engineer,,
12,AR Analyst,,
13,Area Manager,,
14,Artifactory Administrator,,
15,Artifactory Engineer,,
16,Artificial Intelligence AI Architect,TRUE,"Mock interview tailored to evaluate your skills as an Artificial Intelligence Architect, focusing on key concepts such as AI strategy development, system design, model selection, deployment, and integration of AI solutions within business processes."
17,Artificial Intelligence AI Engineer,TRUE,"Mock interview designed to assess your skills as an Artificial Intelligence Engineer, focusing on key concepts such as algorithm implementation, model training, data preprocessing, deep learning frameworks, and real-world AI applications"
18,Artificial Intelligence AI Leader,TRUE,"Mock interview tailored to evaluate your skills as an Artificial Intelligence Leader, focusing on key concepts such as AI strategy formulation, team management, project execution, ethical AI practices, and driving innovation within AI initiatives"
19,Artificial Intelligence AI Researcher,,
20,Artificial Intelligence AI Senior Leader,TRUE,"Mock interview designed to assess your skills as an Artificial Intelligence Senior Leader, focusing on strategic vision, AI project oversight, cross-functional collaboration, ethical considerations, and advancing organizational AI maturity."
21,Assistant Software Engineer,,
22,Associate Analyst,,
23,Associate Consultant,,
24,Associate Database Administrator,,
25,Associate Engineer,,
26,Associate Member of Technical Staff,,
27,Associate Project Lead,,
28,Associate Software Developer,,
29,Associate Software Engineer,,
30,Associate Test Engineer,,
31,AWS DevOps Engineer,TRUE,"Mock interview tailored to evaluate your skills as an AWS DevOps Engineer, focusing on key concepts such as CI/CD pipelines, infrastructure as code, AWS services, automation tools, and best practices for cloud-based deployments."
32,AWS Solutions Architect,,
33,Azure DevOps Engineer,TRUE,"Mock interview designed to assess your skills as an Azure DevOps Engineer, focusing on key concepts such as CI/CD practices, Azure DevOps tools, infrastructure as code, release management, and cloud service integration."
34,Backend Developer,TRUE,"Mock interview tailored to evaluate your backend development skills, focusing on key concepts such as server architecture, database management, API design, security best practices, and performance optimization"
35,Backup Administrator,,
36,Bamboo Engineer,,
37,Big Data Administrator,,
38,Big Data Architect,TRUE,"Mock interview designed to assess your skills as a Big Data Architect, focusing on key concepts such as data modeling, distributed systems, big data technologies, data pipeline design, and performance optimization."
39,Big Data Engineer,TRUE,"Mock interview tailored to evaluate your skills as a Big Data Engineer, focusing on key concepts such as data ingestion, ETL processes, big data frameworks, data storage solutions, and performance tuning."
40,Big Data Specialist,,
41,Bitbucket Engineer,,
42,Blockchain Developer,TRUE,"Mock interview designed to assess your skills as a Blockchain Developer, focusing on key concepts such as smart contracts, decentralized applications, consensus algorithms, blockchain architecture, and security practices."
43,Build and Release Engineer,,
44,Build Engineer,,
45,Business Account Manager,,
